"AnimalID","Timestamp","X","Y","Z","ODBA"
"169",2025-06-03 13:37:04.96,-0.61719,0.38281,0.73438,0.0826508
"169",2025-06-03 13:37:06.96,-0.59375,0.42188,0.72656,0.0314082000000001
"169",2025-06-03 13:37:08.96,-0.57813,0.42188,0.72656,0.0142234000000007
"169",2025-06-03 13:37:10.96,-0.58594,0.44531,0.71094,0.0365553999999983
"169",2025-06-03 13:37:12.96,-0.59375,0.4375,0.69531,0.0570055999999992
"169",2025-06-03 13:37:14.96,-0.58594,0.45313,0.69531,0.032976399999999
"169",2025-06-03 13:37:16.96,-0.57813,0.47656,0.625,0.0899936000000004
"169",2025-06-03 13:37:18.96,-0.625,0.53906,0.60156,0.0257793999999992
"169",2025-06-03 13:37:20.96,-0.625,0.51563,0.60156,0.0281204000000009
"169",2025-06-03 13:37:22.96,-0.625,0.52344,0.60156,0.0125049999999999
"169",2025-06-03 13:37:24.96,-0.61719,0.52344,0.61719,0.017654999999999
"169",2025-06-03 13:37:26.96,-0.79688,0.55469,0.30469,0.132033599999999
"169",2025-06-03 13:37:28.96,-0.78125,0.57031,0.29688,0.0272571999999994
"169",2025-06-03 13:37:30.96,-0.78125,0.57031,0.28125,0.00640960000000018
"169",2025-06-03 13:37:32.96,-0.78125,0.57813,0.28125,0.00796979999999897
"169",2025-06-03 13:37:34.96,-0.78125,0.59375,0.27344,0.0184325999999996
"169",2025-06-03 13:37:36.96,-0.77344,0.59375,0.28125,0.0159325999999991
"169",2025-06-03 13:37:38.96,-0.75781,0.59375,0.28906,0.0342873999999998
"169",2025-06-03 13:37:40.96,-0.77344,0.60156,0.27344,0.0157755999999992
"169",2025-06-03 13:37:42.96,-0.77344,0.55469,0.29688,0.0292208000000002
"169",2025-06-03 13:37:44.96,-0.77344,0.53906,0.25781,0.136259400000001
"169",2025-06-03 13:37:46.96,-0.6875,0.50781,0.48438,0.0972924000000008
"169",2025-06-03 13:37:48.96,-0.67188,0.52344,0.57813,0.0526569999999994
"169",2025-06-03 13:37:50.96,-0.6875,0.5,0.53906,0.0207852000000005
"169",2025-06-03 13:37:52.96,-0.6875,0.5,0.55469,0.0124982000000002
"169",2025-06-03 13:37:54.96,-0.6875,0.50781,0.5625,0.0106207999999998
"169",2025-06-03 13:37:56.96,-0.67969,0.54688,0.50781,0.0817506000000001
"169",2025-06-03 13:37:58.96,-0.71875,0.5625,0.46875,0.0409363999999997
"169",2025-06-03 13:38:00.96,-0.71875,0.57031,0.45313,0.0212483999999987
"169",2025-06-03 13:38:02.96,-0.71094,0.57813,0.46094,0.0350021999999992
"169",2025-06-03 13:38:04.96,-0.80469,0.64063,0.07813,0.3466704
"169",2025-06-03 13:38:06.96,-0.77344,0.67969,0.01563,0.0429646000000004
"169",2025-06-03 13:38:08.96,-0.8125,0.16406,0.5,0.8540644
"169",2025-06-03 13:38:10.96,-0.46094,-0.17188,0.85938,0.285787199999999
"169",2025-06-03 13:38:12.96,-0.51563,-0.07813,0.9375,0.150468
"169",2025-06-03 13:38:14.96,-0.42969,0.01563,0.92188,0.0888200000000002
"169",2025-06-03 13:38:16.96,-0.60156,0.375,0.54688,0.9526478
"169",2025-06-03 13:38:18.96,-0.3125,0.04688,0.96094,0.2034356
"169",2025-06-03 13:38:20.96,-0.44531,0.05469,0.85938,0.1174944
"169",2025-06-03 13:38:22.96,-0.59375,0.20313,0.78906,0.4117812
"169",2025-06-03 13:38:24.96,-0.53125,0.625,-0.03906,0.650936200000001
"169",2025-06-03 13:38:26.96,-0.03906,0.48438,-0.88281,1.1320282
"169",2025-06-03 13:38:28.96,0.5,0.13281,0.26563,1.7465724
"169",2025-06-03 13:38:30.96,-0.46875,-0.03906,-0.6875,0.3932764
"169",2025-06-03 13:38:32.96,-0.71875,-0.13281,0.05469,0.5593332
"169",2025-06-03 13:38:34.96,-1.35156,0.27344,-0.42969,0.9740636
"169",2025-06-03 13:38:36.96,-0.94531,0.00781,-0.07031,0.2832862
"169",2025-06-03 13:38:38.96,-1.00781,0.02344,-0.0625,0.1682806
"169",2025-06-03 13:38:40.96,-0.95313,-0.04688,-0.01563,0.0642588000000005
"169",2025-06-03 13:38:42.96,-0.97656,-0.01563,0.00781,0.1167174
"169",2025-06-03 13:38:44.96,-1.07031,-0.00781,0.39063,0.474222999999999
"169",2025-06-03 13:38:46.96,-1.02344,0.00781,0.35156,0.355938199999999
"169",2025-06-03 13:38:48.96,-0.96094,-0.13281,-0.07031,0.412807400000001
"169",2025-06-03 13:38:50.96,-0.98438,-0.02344,-0.19531,0.0203736000000007
"169",2025-06-03 13:38:52.96,-1.04688,0.00781,-0.17188,0.207663
"169",2025-06-03 13:38:54.96,-1.00781,0.03125,-0.00781,0.0593743999999995
"169",2025-06-03 13:38:56.96,-0.875,-0.15625,0.05469,0.3571924
"169",2025-06-03 13:38:58.96,-0.99219,0.01563,0.01563,0.0332897999999995
"169",2025-06-03 13:39:00.96,-1.11719,-0.29688,-0.22656,0.5492152
"169",2025-06-03 13:39:02.96,-1,-0.1875,-0.07031,0.2418736
"169",2025-06-03 13:39:04.96,-0.96875,-0.26563,0.10156,0.3676596
"169",2025-06-03 13:39:06.96,-0.95313,-0.03906,-0.21875,0.2178104
"169",2025-06-03 13:39:08.96,-0.94531,-0.36719,-0.09375,0.465462399999999
"169",2025-06-03 13:39:10.96,-0.96875,0.0625,-0.11719,0.1832844
"169",2025-06-03 13:39:12.96,-0.98438,0,-0.19531,0.0938996000000006
"169",2025-06-03 13:39:14.96,-1,0.08594,-0.05469,0.1493782
"169",2025-06-03 13:39:16.96,-0.92969,0.03906,-0.13281,0.199368800000001
"169",2025-06-03 13:39:18.96,-0.99219,-0.04688,-0.10938,0.029551
"169",2025-06-03 13:39:20.96,-0.97656,-0.15625,-0.125,0.105626600000001
"169",2025-06-03 13:39:22.96,-1.0625,-0.03906,-0.19531,0.1512492
"169",2025-06-03 13:39:24.96,-0.85156,0.07813,-0.02344,0.307820399999999
"169",2025-06-03 13:39:26.96,-1.01563,-0.00781,-0.17969,0.1009466
"169",2025-06-03 13:39:28.96,-1.00781,-0.07031,-0.09375,0.040926599999999
"169",2025-06-03 13:39:30.96,-0.99219,-0.04688,-0.13281,0.0349926000000005
"169",2025-06-03 13:39:32.96,-1.00781,-0.07813,-0.14063,0.0290511999999996
"169",2025-06-03 13:39:34.96,-1.03906,-0.0625,-0.14844,0.0570290000000008
"169",2025-06-03 13:39:36.96,-1.00781,-0.08594,-0.13281,0.0237517999999996
"169",2025-06-03 13:39:38.96,-0.98438,-0.10156,-0.14844,0.0715618000000004
"169",2025-06-03 13:39:40.96,-1.00781,-0.05469,-0.17188,0.047490799999999
"169",2025-06-03 13:39:42.96,-1,-0.0625,-0.14063,0.0129647999999992
"169",2025-06-03 13:39:44.96,-1,-0.07813,-0.15625,0.0173394000000005
"169",2025-06-03 13:39:46.96,-1.01563,-0.07813,-0.10938,0.0231112000000009
"169",2025-06-03 13:39:48.96,-0.99219,-0.00781,-0.1875,0.155470600000001
"169",2025-06-03 13:39:50.96,-0.98438,-0.04688,-0.07813,0.1196844
"169",2025-06-03 13:39:52.96,-1.95313,-0.09375,0.05469,1.212197
"169",2025-06-03 13:39:54.96,-0.98438,-0.21875,-0.14063,0.194687399999999
"169",2025-06-03 13:39:56.96,-0.96875,-0.21875,-0.14844,0.0484501999999996
"169",2025-06-03 13:39:58.96,-0.97656,-0.13281,-0.32031,0.218910800000001
"169",2025-06-03 13:40:00.96,-1.00781,-0.21875,-0.15625,0.0960899999999991
"169",2025-06-03 13:40:02.96,-0.98438,-0.25,-0.125,0.0365598000000001
"169",2025-06-03 13:40:04.96,-0.97656,-0.28906,-0.125,0.0171864000000008
"169",2025-06-03 13:40:06.96,-0.96875,-0.30469,-0.11719,0.0322935999999992
"169",2025-06-03 13:40:08.96,-1.03906,-0.24219,-0.11719,0.1101502
"169",2025-06-03 13:40:10.96,-0.64063,-0.46875,-0.35938,0.689531800000001
"169",2025-06-03 13:40:12.96,-0.98438,0.19531,-0.17188,0.1293788
"169",2025-06-03 13:40:14.96,-0.94531,0.19531,0.19531,0.410787
"169",2025-06-03 13:40:16.96,-1.01563,-0.07031,-0.03906,0.0289268000000009
"169",2025-06-03 13:40:18.96,-1.02344,-0.07031,-0.05469,0.0221927999999996
"169",2025-06-03 13:40:20.96,-1.01563,-0.07031,-0.04688,0.00656600000000088
"169",2025-06-03 13:40:22.96,-0.99219,-0.14063,-0.25,0.224376200000001
"169",2025-06-03 13:40:24.96,-0.9375,-0.25,-0.34375,0.102029800000001
"169",2025-06-03 13:40:26.96,-0.97656,-0.29688,-0.23438,0.1243728
"169",2025-06-03 13:40:28.96,-0.96875,-0.27344,-0.21094,0.0204683999999999
"169",2025-06-03 13:40:30.96,-0.98438,-0.27344,-0.1875,0.0170361999999996
"169",2025-06-03 13:40:32.96,-0.9375,-0.25781,-0.16406,0.0632899999999998
"169",2025-06-03 13:40:34.96,-0.99219,-0.22656,-0.11719,0.0648491999999994
"169",2025-06-03 13:40:36.96,-0.98438,-0.22656,-0.13281,0.100494400000001
"169",2025-06-03 13:40:38.96,-0.99219,-0.23438,-0.14844,0.0128184000000001
"169",2025-06-03 13:40:40.96,-0.99219,-0.25,-0.13281,0.0356251999999988
"169",2025-06-03 13:40:42.96,-0.99219,-0.24219,-0.16406,0.0120283999999997
"169",2025-06-03 13:40:44.96,-1.04688,-0.13281,-0.125,0.173132999999999
"169",2025-06-03 13:40:46.96,-1.00781,-0.19531,-0.125,0.0606375999999999
"169",2025-06-03 13:40:48.96,-0.99219,-0.23438,-0.10938,0.0506248000000004
"169",2025-06-03 13:40:50.96,-0.97656,-0.21875,-0.13281,0.0314068000000005
"169",2025-06-03 13:40:52.96,-1.09375,-0.14063,-0.16406,0.1948352
"169",2025-06-03 13:40:54.96,-1.02344,-0.21094,-0.21875,0.141251
"169",2025-06-03 13:40:56.96,-1.03906,-0.14844,-0.14844,0.0795309999999991
"169",2025-06-03 13:40:58.96,0.22656,-0.72656,-1.98438,3.548749
"169",2025-06-03 13:41:00.96,-1.03906,-0.22656,-0.14844,0.1668658
"169",2025-06-03 13:41:02.96,-0.96875,-0.21875,-0.07031,0.1421898
"169",2025-06-03 13:41:04.96,-1.02344,-0.15625,-0.17969,0.0517177999999996
"169",2025-06-03 13:41:06.96,-0.95313,-0.0625,-0.39063,0.276569
"169",2025-06-03 13:41:08.96,-0.98438,-0.04688,-0.26563,0.0909332000000005
"169",2025-06-03 13:41:10.96,-0.97656,-0.11719,-0.25781,0.0970304000000006
"169",2025-06-03 13:41:12.96,-1.00781,-0.13281,-0.25,0.0870307999999999
"169",2025-06-03 13:41:14.96,-1,-0.14844,-0.15625,0.0659365999999983
"169",2025-06-03 13:41:16.96,-1.00781,-0.09375,-0.28906,0.279505
"169",2025-06-03 13:41:18.96,-0.99219,-0.25781,-0.17188,0.0378137999999983
"169",2025-06-03 13:41:20.96,-1.00781,-0.26563,-0.125,0.0593687999999981
"169",2025-06-03 13:41:22.96,-1.05469,-0.24219,-0.14844,0.0654695999999992
"169",2025-06-03 13:41:24.96,-1,-0.1875,-0.08594,0.108904999999998
"169",2025-06-03 13:41:26.96,-1.02344,-0.125,-0.19531,0.0835925999999995
"169",2025-06-03 13:41:28.96,-1.04688,-0.17188,-0.11719,0.1206116
"169",2025-06-03 13:41:30.96,-0.96094,-0.29688,-0.20313,0.1814046
"169",2025-06-03 13:41:32.96,-1.19531,0.05469,0.26563,0.863912799999998
"169",2025-06-03 13:41:34.96,-0.92188,-0.125,-0.13281,0.1670304
"169",2025-06-03 13:41:36.96,-1.0625,-0.14063,-0.1875,0.0981285999999991
"169",2025-06-03 13:41:38.96,-0.96094,-0.11719,-0.14844,0.124053
"169",2025-06-03 13:41:40.96,-0.88281,-0.13281,-0.27344,0.188126400000002
"169",2025-06-03 13:41:42.96,-0.90625,-0.17969,-0.26563,0.211724400000002
"169",2025-06-03 13:41:44.96,-1.30469,-0.08594,-0.22656,0.3326528
"169",2025-06-03 13:41:46.96,-0.83594,0.09375,-0.04688,0.5570268
"169",2025-06-03 13:41:48.96,-1.07031,-0.14063,-0.32031,0.190414800000001
"169",2025-06-03 13:41:50.96,-0.98438,-0.10938,-0.10938,0.206715800000001
"169",2025-06-03 13:41:52.96,-0.88281,-0.15625,-0.28125,0.248908800000002
"169",2025-06-03 13:41:54.96,-1.34375,-0.30469,-0.28125,0.6142176
"169",2025-06-03 13:41:56.96,-1.02344,-0.16406,-0.14063,0.147491400000001
"169",2025-06-03 13:41:58.96,-0.77344,-0.42969,-0.07813,0.6531212
"169",2025-06-03 13:42:00.96,-0.89063,-0.03125,-0.22656,0.200043800000002
"169",2025-06-03 13:42:02.96,-0.86719,-0.05469,-0.24219,0.228904200000001
"169",2025-06-03 13:42:04.96,-0.92969,-0.17969,-0.1875,0.2175012
"169",2025-06-03 13:42:06.96,-1.14063,-0.03125,-0.32031,0.2806266
"169",2025-06-03 13:42:08.96,-0.96094,-0.19531,-0.30469,0.139059400000002
"169",2025-06-03 13:42:10.96,-1.03125,-0.25781,-0.11719,0.172038199999999
"169",2025-06-03 13:42:12.96,-1.10938,-0.16406,-0.28125,0.157498
"169",2025-06-03 13:42:14.96,-1.0625,-0.13281,-0.30469,0.1201534
"169",2025-06-03 13:42:16.96,-1.03125,0.02344,-0.03906,0.383599599999999
"169",2025-06-03 13:42:18.96,-0.72656,-0.07031,-0.20313,0.3789092
"169",2025-06-03 13:42:20.96,-1.08594,-0.19531,-0.15625,0.205780799999999
"169",2025-06-03 13:42:22.96,-1.09375,-0.21094,-0.375,0.305118
"169",2025-06-03 13:42:24.96,-1.01563,-0.1875,-0.21094,0.0475019999999988
"169",2025-06-03 13:42:26.96,-0.97656,-0.21094,-0.26563,0.0807898000000015
"169",2025-06-03 13:42:28.96,-0.99219,-0.21875,-0.28906,0.0145267999999998
"169",2025-06-03 13:42:30.96,-0.98438,-0.20313,-0.26563,0.0256164000000008
"169",2025-06-03 13:42:32.96,-0.99219,-0.20313,-0.26563,0.039837199999998
"169",2025-06-03 13:42:34.96,-0.95313,-0.1875,-0.26563,0.0729858000000014
"169",2025-06-03 13:42:36.96,-0.98438,-0.17188,-0.19531,0.0493720000000002
"169",2025-06-03 13:42:38.96,-1.00781,-0.07031,-0.28125,0.164068600000001
"169",2025-06-03 13:42:40.96,-1.00781,-0.20313,-0.21875,0.0614152000000004
"169",2025-06-03 13:42:42.96,-1,-0.21875,-0.21875,0.0248427999999987
"169",2025-06-03 13:42:44.96,-0.84375,-0.28125,-0.29688,0.529461000000002
"169",2025-06-03 13:42:46.96,-1.01563,-0.20313,-0.19531,0.0598406000000021
"169",2025-06-03 13:42:48.96,-1.46875,-0.04688,0.21875,0.959214399999998
"169",2025-06-03 13:42:50.96,-1.00781,-0.22656,-0.20313,0.102503000000002
"169",2025-06-03 13:42:52.96,-1.01563,-0.19531,-0.21094,0.0275061999999981
"169",2025-06-03 13:42:54.96,-1.02344,-0.1875,-0.22656,0.0173410000000004
"169",2025-06-03 13:42:56.96,-1.02344,-0.14063,-0.26563,0.0680944000000024
"169",2025-06-03 13:42:58.96,-1.03906,-0.49219,-0.29688,0.465002800000001
"169",2025-06-03 13:43:00.96,-1.03906,-0.125,-0.16406,0.0556267999999979
"169",2025-06-03 13:43:02.96,-1.02344,-0.14844,-0.17969,0.0437490000000021
"169",2025-06-03 13:43:04.96,-0.99219,-0.11719,-0.22656,0.0690570000000014
"169",2025-06-03 13:43:06.96,-1.05469,-0.15625,-0.05469,0.164690199999998
"169",2025-06-03 13:43:08.96,-1.03125,-0.15625,-0.11719,0.0497710000000021
"169",2025-06-03 13:43:10.96,-1.03125,-0.21875,0.03125,0.200938400000001
"169",2025-06-03 13:43:12.96,-1.02344,-0.11719,-0.17188,0.215941600000001
"169",2025-06-03 13:43:14.96,-1.02344,-0.14844,-0.14844,0.0462490000000013
"169",2025-06-03 13:43:16.96,-0.97656,-0.15625,-0.14844,0.152187400000001
"169",2025-06-03 13:43:18.96,-1,-0.10938,-0.17969,0.0598420000000008
"169",2025-06-03 13:43:20.96,-1.03125,-0.10938,-0.27344,0.0645277999999992
"169",2025-06-03 13:43:22.96,-0.98438,-0.13281,-0.26563,0.117271400000002
"169",2025-06-03 13:43:24.96,-0.78125,-0.09375,-0.24219,0.265624000000001
"169",2025-06-03 13:43:26.96,-1.0625,-0.14844,-0.35156,0.2421838
"169",2025-06-03 13:43:28.96,-0.96875,-0.07813,0.09375,0.432975600000001
"169",2025-06-03 13:43:30.96,-0.86719,-0.07813,-0.39844,0.318589200000001
"169",2025-06-03 13:43:32.96,-0.92969,0.24219,0.03125,0.7304728
"169",2025-06-03 13:43:34.96,-1.22656,-0.10938,-0.29688,0.278339599999999
"169",2025-06-03 13:43:36.96,-1.17188,0.20313,-0.07031,0.511732599999998
"169",2025-06-03 13:43:38.96,-0.99219,-0.10156,-0.29688,0.154693400000001
"169",2025-06-03 13:43:40.96,-0.96094,-0.14063,-0.25781,0.168124600000002
"169",2025-06-03 13:43:42.96,-1.04688,-0.04688,-0.36719,0.152344599999999
"169",2025-06-03 13:43:44.96,-1.02344,-0.05469,-0.21875,0.087183800000001
"169",2025-06-03 13:43:46.96,-1.05469,-0.03125,-0.27344,0.1270598
"169",2025-06-03 13:43:48.96,-0.97656,-0.22656,-0.125,0.283908600000001
"169",2025-06-03 13:43:50.96,-0.82813,-0.08594,-0.14844,0.3246812
"169",2025-06-03 13:43:52.96,-1.15625,-0.21094,-0.20313,0.252183799999999
"169",2025-06-03 13:43:54.96,-1.08594,-0.17188,-0.39844,0.342507
